Name,Price,Release_date,Review_no,Review_type,Tags,Description
Black Myth: Wukong,59.99,2024-08-20,574097,Overwhelmingly Positive,"Mythology,Action RPG,Action,Souls-like,RPG,Combat,Story Rich,Singleplayer,Drama,Action-Adventure,Dark Fantasy,Atmospheric,Adventure,3D,Fantasy,Hack and Slash,Third Person,Difficult,Music,Violent","Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past."
"Warhammer 40,000: Space Marine 2",,2024-09-09,23591,Very Positive,"Warhammer 40K,Action,Adventure,Third-Person Shooter,Action-Adventure,Multiplayer,PvE,Third Person,Wargame,Co-op,3D,Narration,Sci-fi,Fantasy,Space,Realistic,War,Singleplayer,Futuristic,Cinematic",Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.
Counter-Strike 2,0.0,2012-08-21,8286153,Very Positive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable","For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2."
Warframe,0.0,,589527,Very Positive,"Free to Play,Action RPG,Looter Shooter,Third-Person Shooter,Action,RPG,Third Person,Character Customization,Massively Multiplayer,Online Co-Op,Co-op,Singleplayer,PvE,Sci-fi,Space,Shooter,Lore-Rich,Hack and Slash,Parkour,Ninja",Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game
Grand Theft Auto V,10.48,2015-04-14,1703156,Very Positive,"Open World,Action,Multiplayer,Crime,Automobile Sim,Third Person,First-Person,Mature,Shooter,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Sandbox,Atmospheric,Funny,Great Soundtrack,Comedy,Moddable","Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second."
Red Dead Redemption 2,17.99,2019-12-05,565716,Very Positive,"Open World,Story Rich,Western,Adventure,Multiplayer,Action,Realistic,Singleplayer,Shooter,Atmospheric,Horses,Beautiful,Mature,Third-Person Shooter,Great Soundtrack,Third Person,Gore,Sandbox,First-Person,FPS","Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online."
PUBG: BATTLEGROUNDS,0.0,2017-12-21,2423411,Mixed,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth","Play PUBG: BATTLEGROUNDS for free.

Land on strategic locations, loot weapons and supplies, and survive to become the last team standing across various, diverse Battlegrounds.

Squad up and join the Battlegrounds for the original Battle Royale experience that only PUBG: BATTLEGROUNDS can offer."
Dota 2,0.0,2013-07-09,2313928,Very Positive,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,RPG,Tower Defense,Fantasy,Character Customization,Replay Value,Action RPG,Simulation","Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own."
Once Human,0.0,2024-07-10,84045,Mostly Positive,"Survival,Open World,Multiplayer,Free to Play,Co-op,Shooter,Post-apocalyptic,Horror,Base Building,Action,Adventure,Strategy,3D,Simulation,RPG,MMORPG,Action-Adventure,PvP,Singleplayer,Strategy RPG","Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world."
Risk of Rain 2,2.8,2020-08-11,197390,Very Positive,"Third-Person Shooter,Action Roguelike,Multiplayer,Co-op,Action,Roguelite,Roguelike,Looter Shooter,Loot,Online Co-Op,Shooter,Difficult,Third Person,Great Soundtrack,Indie,Survival,Singleplayer,Soundtrack,Early Access,Bullet Hell","Escape a chaotic alien planet by fighting through hordes of frenzied monsters – with your friends, or on your own. Combine loot in surprising ways and master each character until you become the havoc you feared upon your first crash landing."
Apex Legends™,0.0,2020-11-05,943377,Mixed,"Free to Play,Battle Royale,Multiplayer,FPS,Shooter,First-Person,PvP,Action,Hero Shooter,Team-Based,Tactical,Sci-fi,Survival,Loot,Character Customization,Funny,Co-op,Lore-Rich,Cyberpunk,Cinematic","Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale."
The First Descendant,0.0,2024-06-30,84281,Mixed,"Free to Play,Looter Shooter,Sexual Content,Multiplayer,RPG,Third-Person Shooter,Online Co-Op,Action,Shooter,Action RPG,Third Person,Singleplayer,Adventure,Sci-fi,Character Customization,Co-op,PvE,Story Rich,Combat,Violent","The First Descendant is a third-person looter shooter powered by Unreal Engine 5.

Become a Descendant.

Fight for the survival of humanity.

Descendants have unique abilities to tackle both solo and co-op missions.

Up to 4 players use varied mechanics to defeat giant bosses.

BE THE FIRST DESCENDANT!"
ELDEN RING Shadow of the Erdtree,39.99,2024-06-21,78096,Mostly Positive,"Action,RPG,Souls-like,Difficult,Fantasy,Dark,Lore-Rich,Exploration,Adventure,Story Rich,Third Person,Singleplayer,PvE,Action RPG,Character Customization,PvP,Online Co-Op,Multiplayer,3D,Co-op","The ELDEN RING Shadow of the Erdtree expansion features an all-new story set in the Land of Shadow imbued with mystery, perilous dungeons, and new enemies, weapons and equipment."
It Takes Two Friend's Pass,,2024-05-29,,,"Co-op,Multiplayer,Split Screen,Local Co-Op,Puzzle,Online Co-Op,Adventure,Story Rich,Local Multiplayer,Co-op Campaign,Puzzle Platformer,3D Platformer,Action-Adventure,Emotional,Platformer,Action,Exploration,Atmospheric,Minigames,Female Protagonist","Download Friend's Pass* and play It Takes Two with a friend for free. Just grab a friend who owns the full game, download Friend's Pass for free, and play together!"
Dead by Daylight,9.99,2016-06-14,538696,Very Positive,"Horror,Survival Horror,Multiplayer,Online Co-Op,Co-op,Survival,Gore,Team-Based,Blood,Stealth,Third Person,Violent,First-Person,Psychological Horror,Action,Atmospheric,Strategy,Comedy,Mature,Difficult","Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed."
ELDEN RING,59.99,2022-02-25,700814,Very Positive,"Souls-like,Dark Fantasy,Open World,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Singleplayer,Online Co-Op,Action,Co-op,PvP,Atmospheric,Great Soundtrack,Violent,3D,Character Customization,Family Friendly","THE NEW FANTASY ACTION RPG.

Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between."
NARAKA: BLADEPOINT,0.0,2021-08-12,249551,Mostly Positive,"Battle Royale,Multiplayer,Martial Arts,PvP,Action,Character Customization,Fighting,Massively Multiplayer,Female Protagonist,Survival,Third Person,Swordplay,Hack and Slash,Anime,Parkour,Adventure,Mature,Free to Play,Violent,Gore","Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!"
Tom Clancy's Rainbow Six® Siege,14.99,2015-12-01,1118041,Very Positive,"FPS,PvP,eSports,Multiplayer,Tactical,Shooter,Competitive,Online Co-Op,Action,Hero Shooter,Team-Based,Military,Strategy,First-Person,War,Co-op,Realistic,Destruction,Difficult,3D","Tom Clancy's Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph."
GUNDAM BREAKER 4,59.99,2024-08-29,1846,Very Positive,"Action,Robots,Hack and Slash,RPG,Mechs,Action RPG,3D,Co-op,Anime,Character Customization,Singleplayer,Multiplayer","Create your own ultimate Gundam in the newest Gundam Breaker!

With more customizable parts than ever before, you finally have the freedom to build your perfect Gunpla. Test it in battle using the brand new dual-weapon system and break parts off of your enemies and add them to your collection."
ARK: Survival Ascended,10.04,2023-10-26,53980,Mixed,"Survival,Open World,Dinosaurs,Multiplayer,Adventure,Building,Action,Crafting,Base Building,Sandbox,Character Customization,PvP,PvE,Singleplayer,Massively Multiplayer,Inventory Management,RPG,Sci-fi,Fantasy,Moddable","ARK is reimagined from the ground-up into the next-generation of video game technology with Unreal Engine 5! Form a tribe, tame & breed hundreds of unique dinosaurs and primeval creatures, explore, craft, build, and fight your way to the top of the food-chain. Your new world awaits!"
Rust,19.99,2018-02-08,910371,Very Positive,"Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,Nudity,FPS,Shooter,Co-op,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation","The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night."
FINAL FANTASY XIV Online,8.19,2014-02-18,70173,Very Positive,"MMORPG,RPG,Massively Multiplayer,Fantasy,Character Customization,JRPG,Story Rich,Open World,Multiplayer,Magic,Adventure,Third Person,Co-op,Atmospheric,Action,Online Co-Op,Exploration,Action RPG,Crafting,Female Protagonist","Join over 30 million adventurers worldwide and take part in an epic and ever-changing FINAL FANTASY. Experience an unforgettable story, exhilarating battles, and a myriad of captivating environments to explore."
LOCKDOWN Protocol,5.49,2024-07-22,2192,Very Positive,"Multiplayer,Social Deduction,Conversation,Action,Casual,Space,Investigation,Sci-fi,FPS,Real Time Tactics,Puzzle,PvP,First-Person,Perma Death,Cute,3D,Team-Based,Strategy,Stylized,Time Management","A first person social deduction game, combining real time action and communication, 3 to 8 players.

While most players will do their best to complete objectives and ensure victory, a small portion of dissidents will try to stop them at all costs, without getting caught."
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,31.04,2024-06-13,4252,Mostly Positive,"Action,Adventure,RPG,JRPG,Action-Adventure,Emotional,Great Soundtrack,3D,Fantasy,Colorful,Story Rich,Singleplayer,Magic,Cute,Atmospheric,Anime,Character Action Game,Action RPG,Classic,Hack and Slash",KINGDOM HEARTS -HD 1.5+2.5 ReMIX- is an HD remastered collection of 6 unforgettable KINGDOM HEARTS experiences. Take up your Keyblade to save the Disney worlds from darkness.
Team Fortress 2,0.0,2007-10-10,1116616,Very Positive,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting","Nine distinct classes provide a broad range of tactical abilities and personalities.  Constantly updated with new game modes, maps, equipment and, most importantly, hats!"
Diablo® IV,49.99,2023-10-17,23146,Mostly Positive,"Action RPG,Hack and Slash,Loot,Isometric,RPG,Online Co-Op,Singleplayer,Co-op,Action,Third Person,Multiplayer,Dungeon Crawler,Fantasy,PvE,Dark Fantasy,Story Rich,Gore,Exploration,Violent,Point & Click","Join the fight for Sanctuary in Diablo® IV, the ultimate action RPG adventure. Experience the critically acclaimed campaign and new seasonal content."
Wallpaper Engine,2.79,2018-11-16,754781,Overwhelmingly Positive,"Mature,Utilities,Software,Anime,Design & Illustration,Animation & Modeling,NSFW,First-Person,Indie,Memes,Cute,Action,Singleplayer,Funny,Early Access,Photo Editing,Sandbox,Horror,Game Development,Gaming",Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!
Call of Duty®: Black Ops 6,,2024-10-25,,,"Action,Shooter,Multiplayer,FPS,First-Person,Military,PvP,Singleplayer,War,Violent,Story Rich,Capitalism,Gore,Co-op,Realistic,PvE,Open World,Romance,Co-op Campaign","Call of Duty®: Black Ops 6 is signature Black Ops across a cinematic single-player Campaign, a best-in-class Multiplayer experience and with the epic return of Round-Based Zombies."
Cyberpunk 2077,29.99,2020-12-10,676505,Very Positive,"Cyberpunk,Open World,Nudity,RPG,Singleplayer,Sci-fi,Futuristic,FPS,Mature,Story Rich,First-Person,Atmospheric,Exploration,Action,Violent,Great Soundtrack,Action RPG,Adventure,Character Customization,Immersive Sim","Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification."
Nine Sols,8.39,2024-05-29,10105,Overwhelmingly Positive,"Action,Metroidvania,Souls-like,Difficult,Hand-drawn,Platformer,2D,Adventure,Atmospheric,Cats,Dark Fantasy,Story Rich,Sci-fi,Mythology,Gore,Indie,Singleplayer,Martial Arts,Action-Adventure,Comic Book","Nine Sols is a lore rich, hand-drawn 2D action-platformer featuring Sekiro-inspired deflection focused combat. Embark on a journey of eastern fantasy, explore the land once home to an ancient alien race, and follow a vengeful hero’s quest to slay the 9 Sols, formidable rulers of this forsaken realm."
Sea of Thieves: 2024 Edition,19.49,2020-06-03,292181,Very Positive,"Multiplayer,Open World,Adventure,Pirates,Co-op,Online Co-Op,Action,PvP,Sailing,First-Person,Exploration,Naval,PvE,Funny,Massively Multiplayer,FPS,Atmospheric,Great Soundtrack,Swordplay,Singleplayer","Sea of Thieves is a smash-hit pirate adventure game, offering the quintessential pirate experience of plundering lost treasures, intense battles, vanquishing sea monsters and more. Dive in with this revised edition of the game, which includes access to digital bonus media."
Destiny 2,0.0,2019-10-01,611186,Very Positive,"Free to Play,Open World,Looter Shooter,Multiplayer,FPS,MMORPG,Co-op,PvE,PvP,Shooter,Massively Multiplayer,Loot,First-Person,Sci-fi,Action,Adventure,Lore-Rich,Space,Competitive,Atmospheric","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free."
Risk of Rain 2: Seekers of the Storm,6.99,2024-08-27,8299,Mostly Negative,"Action,Indie,Action Roguelike,Great Soundtrack,Third-Person Shooter,Multiplayer,Co-op,Roguelike,Looter Shooter,Singleplayer,Psychological Horror,Online Co-Op","An ancient threat awakens on Petrichor V. Master new Survivors, wield new items, and fight your way across uncharted regions. Ascend the levels of the Colossus in a race to confront The False Son. Defeat him and unlock the true power of his Soul!"
The Elder Scrolls® Online,19.99,2017-05-23,122583,Very Positive,"RPG,MMORPG,Open World,Fantasy,Adventure,Exploration,Multiplayer,Singleplayer,Massively Multiplayer,Action,Character Customization,PvP,PvE,Lore-Rich,Story Rich,Choose Your Own Adventure,Magic,Action RPG,Class-Based,Atmospheric","Join over 22 million players in the award-winning online multiplayer RPG and experience limitless adventure in a persistent Elder Scrolls world. Battle, craft, steal, or explore, and combine different types of equipment and abilities to create your own style of play. No game subscription required."
CarX Street,19.99,2024-08-29,4166,Mixed,"Racing,Open World,Automobile Sim,PvP,Multiplayer,Driving,Sandbox,Simulation,Massively Multiplayer,Exploration,Sports,Third Person,Atmospheric,First-Person,Action,Arcade,3D,3D Vision,Physics,6DOF","Conquer mountain roads, highways, and city streets. Build your dream car with detailed tuning that unleashes the potential of “CarX Technology”© physics. Take part in thrilling races, enjoying realistic gameplay and dynamic driving."
Limbus Company,0.0,2023-02-27,36506,Very Positive,"Lore-Rich,Story Rich,Turn-Based Tactics,RPG,Turn-Based Combat,Visual Novel,Strategy RPG,Singleplayer,Strategy,Free to Play,Anime,PvE,Turn-Based Strategy,Action,2D,Dark Fantasy,Sci-fi,Roguelite,Colorful,Great Soundtrack","As the Executive Manager of Limbus Company, lead your group of twelve Sinners, venture into the buried facilities of Lobotomy Corporation, and lay claim on the Golden Boughs."
Eternal Return,0.0,2023-07-20,58866,Mostly Positive,"Free to Play,Anime,Multiplayer,MOBA,Survival,PvP,Combat,Top-Down,Crafting,Action,Strategy,3D,Tactical,Character Customization,Indie,MMORPG,Point & Click,eSports,Real Time Tactics,Experimental","Eternal Return is a free-to-play, 2.5D perspective Battle Royale game. 

Search, Craft, Hunt, and Fight using a variety of characters.

Plan your strategy and become the last survivor on this eternal experiment."
Ready or Not,29.99,2023-12-13,150187,Very Positive,"Tactical,Realistic,FPS,Shooter,Multiplayer,Co-op,Singleplayer,First-Person,Horror,Action,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Psychological Horror","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations."
Ale & Tale Tavern,6.29,2024-09-05,719,Very Positive,"Adventure,Simulation,Online Co-Op,Cooking,Fantasy,Action,First-Person,Management,Sandbox,Co-op,3D,Casual,Indie,Economy,Building,Exploration,Family Friendly,Action-Adventure,Party Game,Singleplayer","Get ready for a thrilling mix of genres: a cooperative, first-person, open-world fantasy tavern simulator, action, fishing, hunting, exploration, and completing fun and diverse quests. And, of course, COOKING! Play with friends, feed and quench the thirst of the entire world!"
Path of Exile,0.0,2013-10-23,225727,Very Positive,"Free to Play,Dark Fantasy,Action RPG,Hack and Slash,Loot,MMORPG,Multiplayer,Dungeon Crawler,Isometric,Character Customization,RPG,Inventory Management,Singleplayer,Online Co-Op,Action,PvP,Horror,Massively Multiplayer,Fantasy,Adventure","You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win."
World of Warships,0.0,2017-11-15,142239,Mostly Positive,"Naval Combat,Free to Play,Naval,World War II,Massively Multiplayer,Multiplayer,Action,Tactical,PvP,Historical,Military,Online Co-Op,Team-Based,Realistic,Shooter,Simulation,PvE,War,Third-Person Shooter,Co-op","Immerse yourself in thrilling naval battles and assemble an armada of over 600 ships from the first half of the 20th century — from stealthy destroyers to gigantic battleships. Change the look of your ship, choose upgrades to suit your play style, and go into battle with other players!"
Visions of Mana,49.99,2024-08-29,845,Very Positive,"RPG,JRPG,Party-Based RPG,Action RPG,3D,Cute,Action,Lore-Rich,Story Rich,Colorful,Fantasy,Anime,Magic,Class-Based,Atmospheric,Adventure,Singleplayer,Old School,Open World",Explore a world of elemental spirits and adventure in the latest Mana action-RPG.
Street Fighter™ 6,59.99,2023-06-01,28843,Very Positive,"2D Fighter,Fighting,Character Customization,Action,Arcade,Multiplayer,Adventure,Competitive,PvP,eSports,Open World,Singleplayer,Local Multiplayer,Controller,3D,Action RPG,Great Soundtrack,Martial Arts,Sandbox,3D Fighter","Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub."
Cult of the Lamb,12.99,2022-08-11,74824,Overwhelmingly Positive,"Base Building,Cute,Action Roguelike,Singleplayer,Character Customization,Dungeon Crawler,Roguelite,Dark Humor,Colony Sim,Building,2D,Adventure,Action,Funny,Faith,Fantasy,Controller,Colorful,Strategy,Third Person","Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland Followers and spread your Word to become the one true cult."
